Date,Time,Open,High,Low,Close,Vol,OI
08/27/2018,17:00:00,2841.25000,2863.00000,2840.25000,2862.00000,961496,2760646
08/28/2018,17:00:00,2862.50000,2869.75000,2857.75000,2862.75000,902705,2768014
08/29/2018,17:00:00,2864.00000,2881.00000,2861.00000,2878.25000,1113797,2782971
08/30/2018,17:00:00,2879.25000,2879.75000,2859.00000,2865.50000,1331841,2771995
08/31/2018,17:00:00,2861.50000,2871.00000,2855.25000,2865.50000,1323038,2788109
09/04/2018,17:00:00,2870.00000,2876.00000,2849.00000,2861.75000,1605954,2771894
09/05/2018,17:00:00,2862.25000,2864.00000,2841.00000,2851.75000,1604742,2780588
09/06/2018,17:00:00,2852.00000,2856.50000,2831.50000,2842.50000,1692240,2707535
09/07/2018,17:00:00,2841.25000,2848.50000,2828.50000,2838.25000,1692240,2706678
09/10/2018,17:00:00,2837.25000,2851.75000,2836.75000,2843.75000,1248308,2714490
09/11/2018,17:00:00,2843.25000,2856.50000,2830.75000,2853.25000,1269254,2690666
09/12/2018,17:00:00,2853.50000,2858.75000,2843.00000,2852.00000,1581597,2589244
09/13/2018,17:00:00,2851.00000,2870.50000,2848.25000,2868.75000,712160,667008
09/14/2018,17:00:00,2868.00000,2875.75000,2860.50000,2870.00000,1363971,1128631
09/17/2018,17:00:00,2867.50000,2869.75000,2850.75000,2854.50000,1783534,1739118
09/18/2018,17:00:00,2853.75000,2876.25000,2842.00000,2870.25000,1877029,2291959
09/19/2018,17:00:00,2871.50000,2877.25000,2864.25000,2873.50000,1361242,2562710
09/20/2018,17:00:00,2875.00000,2899.25000,2871.75000,2898.00000,1474453,2670821
09/21/2018,17:00:00,2898.25000,2905.50000,2890.50000,2892.25000,1489417,2683226
09/24/2018,17:00:00,2888.00000,2888.75000,2876.25000,2884.00000,1162107,2668621
09/25/2018,17:00:00,2885.00000,2892.75000,2876.75000,2879.75000,1032045,2673717
09/26/2018,17:00:00,2881.00000,2894.50000,2866.00000,2870.00000,1308995,2701707
09/27/2018,17:00:00,2870.00000,2890.50000,2866.00000,2878.50000,1429127,2711538
09/28/2018,17:00:00,2880.75000,2884.00000,2866.50000,2877.50000,1429127,2711354
10/01/2018,17:00:00,2881.00000,2900.50000,2881.00000,2888.50000,1239963,2707643
10/02/2018,17:00:00,2887.50000,2894.50000,2876.00000,2887.00000,1132507,2706036
10/03/2018,17:00:00,2887.50000,2903.25000,2883.25000,2890.00000,1244514,2726120
10/04/2018,17:00:00,2884.50000,2884.75000,2846.25000,2866.25000,2165850,2694807
10/05/2018,17:00:00,2868.50000,2874.00000,2831.75000,2852.50000,2291213,2701393
10/08/2018,17:00:00,2856.00000,2856.75000,2824.50000,2852.25000,1760642,2732047
10/09/2018,17:00:00,2850.75000,2858.50000,2833.00000,2846.75000,1770753,2742562
10/10/2018,17:00:00,2845.50000,2849.75000,2730.00000,2739.50000,3460738,2833715
10/11/2018,17:00:00,2735.00000,2757.25000,2670.75000,2704.00000,4013855,2853603
10/12/2018,17:00:00,2707.00000,2743.50000,2690.75000,2727.00000,2853415,2786486
10/15/2018,17:00:00,2728.50000,2737.25000,2703.75000,2707.50000,1763922,2765969
10/16/2018,17:00:00,2706.00000,2777.50000,2704.00000,2776.25000,1780311,2738078
10/17/2018,17:00:00,2774.75000,2782.75000,2741.75000,2774.75000,1948526,2715306
10/18/2018,17:00:00,2771.75000,2773.25000,2715.00000,2730.75000,2218738,2709549
10/19/2018,17:00:00,2733.25000,2759.00000,2720.75000,2726.00000,2023613,2726587
10/22/2018,17:00:00,2716.50000,2740.50000,2708.25000,2715.00000,1665740,2744048
10/23/2018,17:00:00,2714.25000,2716.00000,2650.75000,2704.75000,2849774,2762871
10/24/2018,17:00:00,2703.75000,2708.50000,2610.75000,2622.75000,2856919,2780617
10/25/2018,17:00:00,2632.25000,2682.25000,2617.25000,2646.75000,2535913,2777378
10/26/2018,17:00:00,2636.50000,2651.25000,2585.75000,2628.00000,3509803,2810469
10/29/2018,17:00:00,2625.50000,2665.50000,2561.50000,2602.00000,2786555,2832369
10/30/2018,17:00:00,2597.50000,2648.75000,2591.75000,2643.75000,2503396,2801386
10/31/2018,17:00:00,2649.25000,2695.75000,2640.50000,2669.50000,2469662,2772626
11/01/2018,17:00:00,2664.50000,2699.75000,2664.00000,2696.50000,1820142,2765125
11/02/2018,17:00:00,2682.50000,2724.75000,2658.00000,2682.75000,2372699,2772149
11/05/2018,17:00:00,2681.00000,2702.25000,2671.25000,2698.00000,1311938,2753163
11/06/2018,17:00:00,2697.50000,2719.50000,2688.25000,2717.50000,1269341,2734277
11/07/2018,17:00:00,2715.25000,2776.25000,2703.25000,2775.00000,1894012,2739779
11/08/2018,17:00:00,2774.50000,2776.50000,2753.50000,2767.25000,1724880,2742894
11/09/2018,17:00:00,2762.50000,2769.75000,2723.00000,2737.50000,1724880,2737796
11/12/2018,17:00:00,2737.25000,2753.75000,2680.75000,2686.25000,1921301,2756704
11/13/2018,17:00:00,2690.25000,2714.25000,2673.00000,2686.00000,2101869,2753792
11/14/2018,17:00:00,2689.75000,2706.75000,2644.75000,2657.00000,2295505,2755546
11/15/2018,17:00:00,2660.50000,2695.25000,2629.75000,2693.00000,2383852,2731137
11/16/2018,17:00:00,2690.25000,2707.25000,2667.25000,2701.50000,1875116,2733741
11/19/2018,17:00:00,2691.50000,2706.50000,2640.00000,2654.75000,1988117,2751484
11/20/2018,17:00:00,2654.75000,2655.25000,2590.25000,2598.50000,2533128,2799436
11/21/2018,17:00:00,2598.25000,2629.75000,2590.75000,2607.50000,872856,2799641
11/23/2018,17:00:00,2608.50000,2614.75000,2584.50000,2588.00000,872856,2792725
11/26/2018,17:00:00,2592.00000,2634.75000,2590.00000,2628.50000,1374735,2783014
11/27/2018,17:00:00,2619.50000,2645.25000,2613.75000,2642.00000,1503048,2763027
11/28/2018,17:00:00,2644.50000,2703.50000,2639.50000,2700.00000,1866115,2773110
11/29/2018,17:00:00,2696.50000,2713.00000,2681.75000,2702.75000,1475346,2751223
